entered training run...


============================================
Discrete Steps until Terminal State: 1000
Continuous Steps until Terminal State: 1000
3.7.2 | packaged by conda-forge | (default, Mar 20 2019, 01:46:52) 
[GCC 7.3.0]
/lustre/fs1/home/amckinney/Local_Neuro_Symbolic
Bounding Persist: <class 'bool'>, True
Bounding Distance: <class 'int'>, 3
Terminal Reward: <class 'int'>, 10
Sequence Level: <class 'int'>, 1
Dungeon Quest LTLF: F(sword) & (!sword U key)
============================================


imported all dependencies, checking for cuda

==============
Cuda detected!
==============

Done with DFA conversion
[<discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2b171000cbe0>, <discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2b171000cc18>]


============================================
Training Teacher / Independent DDPG Agent
Max Training Steps: 1000000
LTLF: F(sword) & (!sword U key)
============================================


Starting training at: 2024-07-23 22:23:07
Env Config: EnvConfig(env_name='MineWorldEnv-v1', kwargs={'config': <discrete.lib.env.mineworldenv.MineWorldConfig object at 0x2b171000cb70>}, wrapper_cls=<class 'discrete.lib.env.rew_every_step.RewEveryStep'>, wrapper_kwargs={'rew_per_step': -0.1})

Env Name: MineWorldEnv-v1
Observation Space: Box(13,)
Automaton Num States: 4
Action Space: Box(1,)
input shape: (13,)
Agent Name: DDPG Agent
NOT Loading from checkpoint
input shape: (13,)
input shape: (13,)
Actor Learning Rate: 0.0001
Critic Learning Rate: 0.001
Completed Steps:   124000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   125000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   126000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:   127000 || Avg Steps:  980 || Avg Rew: -0.099
Completed Steps:   128000 || Avg Steps:  980 || Avg Rew: -0.099
Completed Steps:   129000 || Avg Steps:  980 || Avg Rew: -0.100
Completed Steps:   130000 || Avg Steps:  980 || Avg Rew: -0.099
Completed Steps:   131000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:   132000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   133000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   134000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:   135000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   136000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   137000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   138000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   139000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:   140000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:   141000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   142000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   143000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:   144000 || Avg Steps: 1000 || Avg Rew: -0.097
Completed Steps:   145000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   146000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:   147000 || Avg Steps:  990 || Avg Rew: -0.098
